#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000015.1	19728	20370	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000382.1	11	98	ColRNAI_1	1-88/130	===========....	0/0	67.69	86.36	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000404.1	154	241	ColRNAI_1	1-88/130	===========....	0/0	67.69	86.36	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000407.1	155	242	ColRNAI_1	1-88/130	===========....	0/0	67.69	86.36	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000440.1	5	124	ColRNAI_1	12-130/130	.=======/======	1/1	91.54	86.67	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000451.1	116	246	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000477.1	4	127	ColRNAI_1	8-130/130	========/======	1/1	94.62	86.29	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000478.1	5	134	ColRNAI_1	1-130/130	========/======	2/2	99.23	85.50	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000488.1	116	246	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000490.1	117	247	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000531.1	1	93	ColRNAI_1	39-130/130	....====/======	1/1	70.77	86.02	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000567.1	75	205	ColRNAI_1	1-130/130	========/======	1/1	100.00	83.97	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000570.1	74	204	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000574.1	44	173	ColRNAI_1	1-130/130	========/======	2/2	99.23	83.97	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000595.1	1	131	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000604.1	128	240	ColRNAI_1	19-130/130	..======/======	1/1	86.15	87.61	plasmidfinder	DQ298019
