#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000001.1	848419	848856	(AGly)Aac6-Iy	1-438/438	===============	0/0	100.00	96.80	argannot	AF144880:3452-3979
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000021.1	8916	9022	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000022.1	20	127	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000022.1	830	1480	(Tet)TetR	1-651/651	===============	0/0	100.00	100.00	argannot	HF545434:53576-54226
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000022.1	1511	2785	(Tet)TetA	1-1275/1275	===============	0/0	100.00	100.00	argannot	JX424423:94438-95712
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000022.1	7846	7952	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000025.1	4762	4869	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000026.1	19	127	(Phe)CatB4	441-549/549	............===	0/0	19.85	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000026.1	1921	1978	(AGly)Aac3-Ib	1-58/531	==.............	0/0	10.92	100.00	argannot	L06157:555-1085
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000026.1	1996	2469	(Tmt)dhfr7	1-474/474	===============	0/0	100.00	100.00	argannot	X58425:594-1067
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000026.1	3040	3879	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000026.1	4061	4167	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000027.1	18	125	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000027.1	3749	3855	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000029.1	1630	2271	(Phe)CatA2	1-642/642	===============	0/0	100.00	96.11	argannot	X53796:187-903
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000030.1	19	125	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361255.1_ASM1936125v1_genomic.fna	JAAHYQ010000042.1	1	107	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
