#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000001.1	288853	289290	(AGly)Aac6-Iy	1-438/438	===============	0/0	100.00	96.80	argannot	AF144880:3452-3979
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000029.1	19	126	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000030.1	20	126	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000030.1	308	1147	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000030.1	1718	2191	(Tmt)dhfr7	1-474/474	===============	0/0	100.00	100.00	argannot	X58425:594-1067
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000030.1	2209	2266	(AGly)Aac3-Ib	1-58/531	==.............	0/0	10.92	100.00	argannot	L06157:555-1085
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000030.1	4060	4168	(Phe)CatB4	441-549/549	............===	0/0	19.85	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000031.1	18	125	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000031.1	3749	3855	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000032.1	1757	2398	(Phe)CatA2	1-642/642	===============	0/0	100.00	96.11	argannot	X53796:187-903
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000034.1	2412	2518	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000045.1	19	125	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000045.1	1036	1143	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019364425.1_ASM1936442v1_genomic.fna	JAAIEN010000057.1	1	107	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
